,name,hp,types,weaknesses,rarity,nationalPokedexNumbers,resistances,damage,energyCost,evolution
0,Alakazam,80.0,['Psychic'],['Psychic'],Rare Holo,65,['None'],30,3,Stage 2
1,Blastoise,100.0,['Water'],['Lightning'],Rare Holo,9,['None'],40,3,Stage 2
2,Chansey,120.0,['Colorless'],['Fighting'],Rare Holo,113,['Psychic'],80,4,Basic
3,Charizard,120.0,['Fire'],['Water'],Rare Holo,6,['Fighting'],100,4,Stage 2
4,Clefairy,40.0,['Colorless'],['Fighting'],Rare Holo,35,['Psychic'],0,3,Basic
5,Gyarados,100.0,['Water'],['Grass'],Rare Holo,130,['Fighting'],50,3,Stage 1
6,Hitmonchan,70.0,['Fighting'],['Psychic'],Rare Holo,107,['None'],40,3,Basic
7,Machamp,100.0,['Fighting'],['Psychic'],Rare Holo,68,['None'],60,4,Stage 2
8,Magneton,60.0,['Lightning'],['Fighting'],Rare Holo,82,['None'],80,4,Stage 1
9,Mewtwo,60.0,['Psychic'],['Psychic'],Rare Holo,150,['None'],10,2,Basic
10,Nidoking,90.0,['Grass'],['Psychic'],Rare Holo,34,['None'],30,3,Stage 2
11,Ninetales,80.0,['Fire'],['Water'],Rare Holo,38,['None'],80,4,Stage 1
12,Poliwrath,90.0,['Water'],['Grass'],Rare Holo,62,['None'],40,4,Stage 2
13,Raichu,80.0,['Lightning'],['Fighting'],Rare Holo,26,['None'],60,4,Stage 1
14,Venusaur,100.0,['Grass'],['Fire'],Rare Holo,3,['None'],60,4,Stage 2
15,Zapdos,90.0,['Lightning'],['None'],Rare Holo,145,['Fighting'],100,4,Basic
16,Beedrill,80.0,['Grass'],['Fire'],Rare,15,['Fighting'],40,3,Stage 2
17,Dragonair,80.0,['Colorless'],['None'],Rare,148,['Psychic'],30,3,Stage 1
18,Dugtrio,70.0,['Fighting'],['Grass'],Rare,51,['Lightning'],70,4,Stage 1
19,Electabuzz,70.0,['Lightning'],['Fighting'],Rare,125,['None'],30,2,Basic
20,Electrode,80.0,['Lightning'],['Fighting'],Rare,101,['None'],50,3,Stage 1
21,Pidgeotto,60.0,['Colorless'],['Lightning'],Rare,17,['Fighting'],20,2,Stage 1
22,Arcanine,100.0,['Fire'],['Water'],Uncommon,59,['None'],80,4,Stage 1
23,Charmeleon,80.0,['Fire'],['Water'],Uncommon,5,['None'],50,3,Stage 1
24,Dewgong,80.0,['Water'],['Lightning'],Uncommon,87,['None'],50,3,Stage 1
25,Dratini,40.0,['Colorless'],['None'],Uncommon,147,['Psychic'],10,1,Basic
26,Farfetch'd,50.0,['Colorless'],['Lightning'],Uncommon,83,['Fighting'],30,3,Basic
27,Growlithe,60.0,['Fire'],['Water'],Uncommon,58,['None'],20,2,Basic
28,Haunter,60.0,['Psychic'],['None'],Uncommon,93,['Fighting'],50,2,Stage 1
29,Ivysaur,60.0,['Grass'],['Fire'],Uncommon,2,['None'],30,3,Stage 1
30,Jynx,70.0,['Psychic'],['Psychic'],Uncommon,124,['None'],20,3,Basic
31,Kadabra,60.0,['Psychic'],['Psychic'],Uncommon,64,['None'],50,3,Stage 1
